_nwb_path,subject_id,reward_block,block_order,block_start_from_session_seconds,block_stop_from_session_seconds,block_duration_seconds,n_trials,is_technically_valid
https://dandiarchive.s3.amazonaws.com/blobs/4d8/ee0/4d8ee03a-8ed6-46af-baef-48bcdc3bda86,615047,engaged_2,3,2385.15983,3907.01623,1521.8564000000001,227,true
https://dandiarchive.s3.amazonaws.com/blobs/9b5/21d/9b521df8-c80b-4305-b5f5-6830e47015dc,615047,engaged_1,1,0.0,889.9104199999999,889.9104199999999,138,true
https://dandiarchive.s3.amazonaws.com/blobs/9b5/21d/9b521df8-c80b-4305-b5f5-6830e47015dc,615047,no_reward,2,890.34374,2382.89205,1492.54831,151,true
https://dandiarchive.s3.amazonaws.com/blobs/9b5/21d/9b521df8-c80b-4305-b5f5-6830e47015dc,615047,engaged_2,3,2391.9164299999998,3900.8945,1508.9780700000001,569,true
https://dandiarchive.s3.amazonaws.com/blobs/a25/64a/a2564a07-a0cb-4376-b229-bb8586440a65,615047,engaged_1,1,0.0,885.95743,885.95743,133,true
https://dandiarchive.s3.amazonaws.com/blobs/a25/64a/a2564a07-a0cb-4376-b229-bb8586440a65,615047,no_reward,2,886.69087,2386.02826,1499.33739,158,true
https://dandiarchive.s3.amazonaws.com/blobs/a25/64a/a2564a07-a0cb-4376-b229-bb8586440a65,615047,engaged_2,3,2386.76179,3907.70024,1520.93845,217,true
https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,engaged_1,1,0.0,894.6129599999999,894.6129599999999,202,true
https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,no_reward,2,894.8470500000001,2391.9656,1497.1185500000001,209,true
https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,engaged_2,3,2392.56636,3900.71101,1508.1446500000002,264,true
https://dandiarchive.s3.amazonaws.com/blobs/79f/491/79f49133-ebbc-4302-9892-e200c2fad8e2,615048,engaged_1,1,0.0,896.1478900000001,896.1478900000001,146,true
https://dandiarchive.s3.amazonaws.com/blobs/79f/491/79f49133-ebbc-4302-9892-e200c2fad8e2,615048,no_reward,2,896.3818100000001,2390.89912,1494.5173100000002,205,true
https://dandiarchive.s3.amazonaws.com/blobs/79f/491/79f49133-ebbc-4302-9892-e200c2fad8e2,615048,engaged_2,3,2391.13267,3900.9793299999997,1509.8466599999997,249,true
https://dandiarchive.s3.amazonaws.com/blobs/cef/352/cef35297-7f3a-41ce-949d-59dd2a4c4bc1,615048,engaged_1,1,0.0,892.3447100000001,892.3447100000001,145,true
https://dandiarchive.s3.amazonaws.com/blobs/cef/352/cef35297-7f3a-41ce-949d-59dd2a4c4bc1,615048,no_reward,2,892.62859,2397.67131,1505.0427200000001,258,true
