subject_id,transition,anchor_type,bin_center_minutes,mean_axis_score,n_sessions,n_trials,transition_order,transition_label,anchor_order,anchor_label
632295,withdrawal,pseudo,1.0,-0.16766380419484556,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
632295,withdrawal,pseudo,3.0,-0.13276419813243015,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
632295,withdrawal,pseudo,5.0,-0.06447560321202182,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
638387,withdrawal,pseudo,-5.0,0.08379244946114016,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
638387,withdrawal,pseudo,-3.0,0.052554869134121024,1,4,1,Reward withdrawal,2,Within-state pseudo-boundary
638387,withdrawal,pseudo,-1.0,0.2683491664219831,1,4,1,Reward withdrawal,2,Within-state pseudo-boundary
638387,withdrawal,pseudo,1.0,0.1206608935406066,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
638387,withdrawal,pseudo,3.0,0.052260795904842006,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
638387,withdrawal,pseudo,5.0,0.013006404139770007,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
640887,withdrawal,pseudo,-5.0,0.1678340381669347,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
640887,withdrawal,pseudo,-3.0,0.11991641047164885,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
640887,withdrawal,pseudo,-1.0,0.08551125849209645,2,9,1,Reward withdrawal,2,Within-state pseudo-boundary
640887,withdrawal,pseudo,1.0,0.2085310936019799,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
640887,withdrawal,pseudo,3.0,-0.1137287091390875,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
640887,withdrawal,pseudo,5.0,0.0774865563445157,2,9,1,Reward withdrawal,2,Within-state pseudo-boundary
640890,withdrawal,pseudo,-5.0,0.17799336887511996,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
640890,withdrawal,pseudo,-3.0,0.009191022993649628,2,6,1,Reward withdrawal,2,Within-state pseudo-boundary
640890,withdrawal,pseudo,-1.0,0.1060735976093985,2,9,1,Reward withdrawal,2,Within-state pseudo-boundary
640890,withdrawal,pseudo,1.0,0.06239933282365981,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
640890,withdrawal,pseudo,3.0,0.11822710506908363,2,6,1,Reward withdrawal,2,Within-state pseudo-boundary
640890,withdrawal,pseudo,5.0,0.12278845783870813,2,8,1,Reward withdrawal,2,Within-state pseudo-boundary
642504,withdrawal,pseudo,-5.0,0.10561508271886626,3,9,1,Reward withdrawal,2,Within-state pseudo-boundary
642504,withdrawal,pseudo,-3.0,0.07958781589749965,3,9,1,Reward withdrawal,2,Within-state pseudo-boundary
642504,withdrawal,pseudo,-1.0,0.03375771435716775,3,10,1,Reward withdrawal,2,Within-state pseudo-boundary
642504,withdrawal,pseudo,1.0,0.015533132891739576,3,10,1,Reward withdrawal,2,Within-state pseudo-boundary
642504,withdrawal,pseudo,3.0,0.08260103311581576,3,11,1,Reward withdrawal,2,Within-state pseudo-boundary
642504,withdrawal,pseudo,5.0,0.04490558771276467,3,11,1,Reward withdrawal,2,Within-state pseudo-boundary
614547,restoration,real,-5.0,-0.21807317908373172,1,4,2,Reward restoration,1,Real boundary
614547,restoration,real,-3.0,-0.308100405136628,1,5,2,Reward restoration,1,Real boundary
614547,restoration,real,-1.0,-0.33794644721098954,1,7,2,Reward restoration,1,Real boundary
614547,restoration,real,1.0,0.019478418413599694,1,3,2,Reward restoration,1,Real boundary
614547,restoration,real,3.0,-0.0890423410964912,1,1,2,Reward restoration,1,Real boundary
614547,restoration,real,5.0,-0.05238124903234395,1,2,2,Reward restoration,1,Real boundary
614608,restoration,real,-5.0,-0.22715019655031343,2,9,2,Reward restoration,1,Real boundary
614608,restoration,real,-3.0,-0.3283194151537181,2,7,2,Reward restoration,1,Real boundary
614608,restoration,real,-1.0,-0.3355339216379456,2,11,2,Reward restoration,1,Real boundary
614608,restoration,real,1.0,-0.269061843264949,2,6,2,Reward restoration,1,Real boundary
614608,restoration,real,3.0,-0.23303277018062363,2,6,2,Reward restoration,1,Real boundary
614608,restoration,real,5.0,-0.09046202052443533,2,9,2,Reward restoration,1,Real boundary
615048,restoration,real,-5.0,-0.2688180071953236,2,9,2,Reward restoration,1,Real boundary
615048,restoration,real,-3.0,-0.26688849275661997,2,7,2,Reward restoration,1,Real boundary
615048,restoration,real,-1.0,-0.3020132245403029,2,5,2,Reward restoration,1,Real boundary
615048,restoration,real,1.0,-0.17741056840127267,2,6,2,Reward restoration,1,Real boundary
615048,restoration,real,3.0,-0.13395318367895112,2,7,2,Reward restoration,1,Real boundary
615048,restoration,real,5.0,-0.14657557235910051,2,8,2,Reward restoration,1,Real boundary
615564,restoration,real,-5.0,-0.34082776656025016,2,2,2,Reward restoration,1,Real boundary
615564,restoration,real,-3.0,-0.2578842209508942,2,5,2,Reward restoration,1,Real boundary
615564,restoration,real,-1.0,-0.16965710388522806,2,6,2,Reward restoration,1,Real boundary
615564,restoration,real,1.0,-0.0768477763295343,2,2,2,Reward restoration,1,Real boundary
615564,restoration,real,3.0,-0.1022742602715751,2,3,2,Reward restoration,1,Real boundary
615564,restoration,real,5.0,-0.07949443114057486,2,4,2,Reward restoration,1,Real boundary
623319,restoration,real,-5.0,-0.2677842079709797,2,9,2,Reward restoration,1,Real boundary
