subject_id,transition_id,transition_order,condition,n_sessions_inventory,n_sessions_in_analysis,real_step,n_sessions_real_step,n_real_window_trials,pseudo_step,n_sessions_pseudo_step,n_pseudo_window_trials,pseudo_controlled_step,n_sessions_pseudo_controlled_step,n_controlled_window_trials,real_latency_step_seconds,n_sessions_real_latency_step_seconds,n_real_window_latency_responses,pseudo_latency_step_seconds,n_sessions_pseudo_latency_step_seconds,n_pseudo_window_latency_responses,pseudo_controlled_latency_step_seconds,n_sessions_pseudo_controlled_latency_step_seconds,n_controlled_window_latency_responses,within_mouse_aggregation
623786,reward_restoration,2,go,4,4,0.6369047619047619,4,51,-0.12514892514892514,3,65,0.8632441632441633,3,110,-0.18359000000009473,1,3,0.07538166666669592,3,16,,0,0,equal_session_mean
623786,reward_restoration,2,go_minus_catch,4,4,0.5535714285714286,4,83,-0.029910829910829922,3,106,0.6568949568949569,3,179,,0,0,,0,0,,0,0,equal_session_mean
626279,reward_withdrawal,1,catch,4,4,-0.005952380952380952,4,47,-0.2708333333333333,4,43,0.2648809523809524,4,90,,0,0,0.1500599999999963,1,2,,0,0,equal_session_mean
626279,reward_withdrawal,1,go,4,4,0.0971153846153846,4,81,0.003869047619047633,4,73,0.09324633699633697,4,154,0.0017950000000155342,3,20,0.058409999999980755,3,30,-0.05661499999996522,3,50,equal_session_mean
626279,reward_withdrawal,1,go_minus_catch,4,4,0.10306776556776555,4,128,0.274702380952381,4,116,-0.1716346153846154,4,244,,0,0,,0,0,,0,0,equal_session_mean
626279,reward_restoration,2,catch,4,4,0.1,4,46,-0.01984126984126984,4,57,0.11984126984126985,4,103,,0,0,0.2929899999999179,1,3,,0,0,equal_session_mean
626279,reward_restoration,2,go,4,4,0.3656031468531469,4,72,-0.15288184038184038,4,99,0.5184849872349873,4,171,0.02972666666664736,3,12,-0.1344099999998889,1,3,0.116800000000012,1,8,equal_session_mean
626279,reward_restoration,2,go_minus_catch,4,4,0.26560314685314684,4,118,-0.13304057054057053,4,156,0.3986437173937174,4,274,,0,0,,0,0,,0,0,equal_session_mean
632295,reward_withdrawal,1,catch,4,4,0.28928571428571426,4,37,0.1375,4,26,0.1517857142857143,4,63,-0.004755000000159271,3,7,,0,0,,0,0,equal_session_mean
632295,reward_withdrawal,1,go,4,4,0.2,4,58,0.1703192640692641,4,54,0.02968073593073592,4,112,0.01430624999994734,4,44,0.008162499999997408,4,42,0.006143749999949932,4,86,equal_session_mean
632295,reward_withdrawal,1,go_minus_catch,4,4,-0.08928571428571427,4,95,0.03281926406926411,4,80,-0.12210497835497838,4,175,,0,0,,0,0,,0,0,equal_session_mean
632295,reward_restoration,2,catch,4,4,0.4770833333333333,4,38,-0.03571428571428571,4,51,0.5127976190476191,4,89,0.03470999999990454,1,2,,0,0,,0,0,equal_session_mean
632295,reward_restoration,2,go,4,4,0.729040404040404,4,66,-0.12853535353535353,4,90,0.8575757575757575,4,156,-0.024781666666967794,3,17,0.005016666666657936,3,32,0.03332999999952335,2,31,equal_session_mean
632295,reward_restoration,2,go_minus_catch,4,4,0.2519570707070707,4,104,-0.09282106782106783,4,141,0.3447781385281385,4,245,,0,0,,0,0,,0,0,equal_session_mean
633232,reward_withdrawal,1,catch,4,4,0.075,4,32,0.38492063492063494,3,26,-0.28492063492063496,3,51,0.15876500000013039,1,3,0.2584724999999821,2,6,,0,0,equal_session_mean
633232,reward_withdrawal,1,go,4,4,0.05480769230769232,4,53,0.2003968253968254,4,46,-0.14558913308913307,4,99,-0.05041749999986678,2,11,-0.005724999999946097,3,19,0.012330000000133623,2,25,equal_session_mean
633232,reward_withdrawal,1,go_minus_catch,4,4,-0.020192307692307676,4,85,-0.11772486772486772,3,64,0.035246235246235234,3,130,,0,0,,0,0,,0,0,equal_session_mean
633232,reward_restoration,2,catch,4,4,0.01428571428571429,4,49,-0.10496031746031748,4,50,0.11924603174603175,4,99,,0,0,0.317485000000147,2,5,,0,0,equal_session_mean
633232,reward_restoration,2,go,4,4,0.004181929181929167,4,72,-0.113510101010101,4,77,0.11769203019203017,4,149,-0.0035433333334822237,3,22,-0.023943333333060462,3,27,0.020399999999578238,3,49,equal_session_mean
633232,reward_restoration,2,go_minus_catch,4,4,-0.010103785103785123,4,121,-0.00854978354978353,4,127,-0.0015540015540015661,4,248,,0,0,,0,0,,0,0,equal_session_mean
636740,reward_withdrawal,1,catch,4,4,0.0,4,50,0.09761904761904762,4,51,-0.09761904761904762,4,101,-0.10019000000011147,1,2,-0.2501700000001392,1,3,,0,0,equal_session_mean
636740,reward_withdrawal,1,go,4,4,-0.003373015873015861,4,86,0.1798611111111111,4,80,-0.18323412698412697,4,166,0.021526666666583576,3,40,0.07813333333342598,3,38,-0.05660666666684241,3,78,equal_session_mean
636740,reward_withdrawal,1,go_minus_catch,4,4,-0.003373015873015861,4,136,0.08224206349206349,4,131,-0.08561507936507935,4,267,,0,0,,0,0,,0,0,equal_session_mean
636740,reward_restoration,2,catch,4,4,0.010416666666666664,4,50,0.01428571428571429,4,55,-0.003869047619047626,4,105,,0,0,,0,0,,0,0,equal_session_mean
636740,reward_restoration,2,go,4,4,0.45042735042735044,4,83,-0.16545121545121547,4,97,0.6158785658785659,4,180,0.021413333333233215,3,20,-0.10451750000015636,2,12,0.12831249999999272,2,24,equal_session_mean
