_nwb_path,subject_id,ecephys_session_id,recording_day,audit_scope,reward_block,block_order,n_trials,n_trials_with_valid_lick_vectors,n_trials_with_invalid_lick_vectors,n_trials_with_valid_response_event,n_trials_without_valid_response_event,n_trials_with_duplicate_lick_timestamps,n_trials_with_duplicate_response_window_licks,n_raw_lick_timestamps,n_unique_lick_timestamps,n_duplicate_lick_timestamps,n_raw_response_window_licks,n_unique_response_window_licks,n_duplicate_response_window_licks,n_response_window_licks,canonical_response_count_is_deduplicated,total_duplicate_count_consistent,response_window_duplicate_count_consistent,fraction_trials_with_duplicate_lick_timestamps,lick_timestamp_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,1180107381,EPHYS_3,session_block,engaged_1,1,157,157,0,61,96,0,0,469,469,0,56,56,0,56,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,1180107381,EPHYS_3,session_block,no_reward,2,154,154,0,154,0,0,0,350,350,0,58,58,0,58,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,1180107381,EPHYS_3,session_block,engaged_2,3,280,280,0,108,172,0,0,885,885,0,87,87,0,87,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,1179670730,EPHYS_1,session,all,0,598,598,0,332,266,0,0,2283,2283,0,266,266,0,266,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,1179670730,EPHYS_1,session_block,engaged_1,1,207,207,0,45,162,0,0,659,659,0,57,57,0,57,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,1179670730,EPHYS_1,session_block,no_reward,2,156,156,0,156,0,0,0,587,587,0,59,59,0,59,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,1179670730,EPHYS_1,session_block,engaged_2,3,235,235,0,131,104,0,0,1037,1037,0,150,150,0,150,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,1180266229,EPHYS_4,session,all,0,516,516,0,357,159,0,0,1381,1381,0,158,158,0,158,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,1180266229,EPHYS_4,session_block,engaged_1,1,125,125,0,76,49,0,0,405,405,0,46,46,0,46,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,1180266229,EPHYS_4,session_block,no_reward,2,158,158,0,158,0,0,0,135,135,0,27,27,0,27,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,1180266229,EPHYS_4,session_block,engaged_2,3,233,233,0,123,110,0,0,841,841,0,85,85,0,85,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,1179911454,EPHYS_2,session,all,0,501,501,0,369,132,0,0,1594,1594,0,161,161,0,161,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,1179911454,EPHYS_2,session_block,engaged_1,1,141,141,0,68,73,0,0,491,491,0,46,46,0,46,true,true,true,0.0,pass
