subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_trial_start,relative_trial_stop,relative_trial_center,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
608671,reward_restoration,2,real,catch,3,engaged_2,17,24,20.5,4,4,4,0.0,9,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,go,-3,no_reward,-24,-17,-20.5,4,4,4,0.0,26,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,go,-2,no_reward,-16,-9,-12.5,4,4,4,0.0,24,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,go,-1,no_reward,-8,-1,-4.5,4,4,4,0.0,23,0,0,,0,0,4,observed,equal_session_mean
608671,reward_restoration,2,real,go,1,engaged_2,1,8,4.5,4,4,4,0.3535714285714286,24,9,3,0.5125333333332188,9,0,1,observed,equal_session_mean
608671,reward_restoration,2,real,go,2,engaged_2,9,16,12.5,4,4,4,0.16666666666666666,24,4,3,0.5871383333333142,4,0,1,observed,equal_session_mean
608671,reward_restoration,2,real,go,3,engaged_2,17,24,20.5,4,4,4,0.09166666666666667,23,2,2,0.562460000000101,2,0,2,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,catch,-3,engaged_1,-24,-17,-20.5,4,4,1,1.0,1,1,1,0.3778000000000077,1,3,3,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,catch,-2,engaged_1,-16,-9,-12.5,4,4,3,0.0,7,0,0,,0,1,4,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,catch,-1,engaged_1,-8,-1,-4.5,4,4,4,0.08333333333333333,10,1,1,0.34489999999999554,1,0,3,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,catch,1,engaged_1,1,8,4.5,4,4,4,0.3333333333333333,7,2,2,0.33601499999997486,2,0,2,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,catch,2,engaged_1,9,16,12.5,4,4,4,0.20833333333333331,10,2,2,0.4535749999999439,2,0,2,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,catch,3,engaged_1,17,24,20.5,4,4,2,0.0,2,0,0,,0,2,4,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,go,-3,engaged_1,-24,-17,-20.5,4,4,1,0.8571428571428571,7,6,1,0.3376350000000059,6,3,3,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,go,-2,engaged_1,-16,-9,-12.5,4,4,3,0.8777777777777778,17,15,3,0.37029666666667066,15,1,1,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,go,-1,engaged_1,-8,-1,-4.5,4,4,4,0.5916666666666667,22,13,4,0.36375500000004024,13,0,0,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,go,1,engaged_1,1,8,4.5,4,4,4,0.5285714285714286,25,13,4,0.3702524999999781,13,0,0,observed,equal_session_mean
608672,reward_withdrawal,1,pseudo,go,2,engaged_1,9,16,12.5,4,4,4,0.6,22,13,4,0.36857999999999436,13,0,0,observed,equal_session_mean
