subject_id,behavior_block,block_order,response_probability,n_sessions_response_contributing,n_responses,n_go_trials,false_alarm_probability,n_sessions_false_alarm_contributing,n_false_alarms,n_catch_trials,dprime,n_sessions_dprime_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method,n_sessions_contributing
623322,no_reward_late,2,0.03912423334759663,3,4,109,0.04363636363636364,3,3,71,-0.0368749175236384,3,4,3,threshold_selected,equal_session_mean,3
623322,engaged_2_early,3,0.6399308921868396,3,91,143,0.04641488779419814,3,4,87,1.91180206914749,3,4,3,threshold_selected,equal_session_mean,3
623322,engaged_2_late,4,0.4222222222222222,3,43,109,0.03812636165577342,3,2,61,1.094598688919879,3,4,3,threshold_selected,equal_session_mean,3
623784,engaged_1,1,0.8299120234604106,4,106,128,0.2803331859059413,4,22,78,1.5761427487405775,4,4,4,technically_valid,equal_session_mean,4
623784,no_reward_late,2,0.3368951612903226,4,32,106,0.19115190365190365,4,11,62,0.35391110151266464,4,4,4,technically_valid,equal_session_mean,4
623784,engaged_2_early,3,0.7440767973856209,4,100,135,0.21305982347172278,4,17,82,1.4466189401643395,4,4,4,technically_valid,equal_session_mean,4
623784,engaged_2_late,4,0.6404166666666666,4,59,93,0.1793040293040293,4,10,55,1.2511169570071599,4,4,4,technically_valid,equal_session_mean,4
623784,engaged_1,1,0.8709677419354839,1,27,31,0.17647058823529413,1,3,17,1.9391496872144525,1,4,1,threshold_selected,equal_session_mean,1
623784,no_reward_late,2,0.0967741935483871,1,3,31,0.15,1,3,20,-0.2624371931148881,1,4,1,threshold_selected,equal_session_mean,1
623784,engaged_2_early,3,0.6666666666666666,1,22,33,0.2631578947368421,1,5,19,1.0150442654315,1,4,1,threshold_selected,equal_session_mean,1
623784,engaged_2_late,4,0.6666666666666666,1,16,24,0.23076923076923078,1,3,13,1.0869528796374865,1,4,1,threshold_selected,equal_session_mean,1
623786,engaged_1,1,0.7432804104715985,4,109,147,0.08520066889632108,4,8,95,1.9302767852489953,4,4,4,technically_valid,equal_session_mean,4
623786,no_reward_late,2,0.16420913394597605,4,11,102,0.065625,4,2,61,0.39321295936835143,4,4,4,technically_valid,equal_session_mean,4
623786,engaged_2_early,3,0.7073761261261261,4,117,167,0.05096153846153846,4,5,95,2.2001627426404746,4,4,4,technically_valid,equal_session_mean,4
623786,engaged_2_late,4,0.7760037878787879,4,93,120,0.16381578947368422,4,11,73,1.8877364936945096,4,4,4,technically_valid,equal_session_mean,4
623786,engaged_1,1,0.7598566308243728,2,51,67,0.09347826086956522,2,4,43,1.9018794552176341,2,4,2,threshold_selected,equal_session_mean,2
623786,no_reward_late,2,0.03518518518518518,2,2,57,0.03125,2,1,32,-0.015327286321313305,2,4,2,threshold_selected,equal_session_mean,2
623786,engaged_2_early,3,0.7814189189189189,2,60,77,0.025,2,1,42,2.507863377735221,2,4,2,threshold_selected,equal_session_mean,2
623786,engaged_2_late,4,0.7229166666666667,2,45,62,0.05263157894736842,2,2,37,2.135033636240826,2,4,2,threshold_selected,equal_session_mean,2
626279,engaged_1,1,0.4229351441241685,4,65,169,0.08964646464646464,4,9,107,1.0355707383958601,4,4,4,technically_valid,equal_session_mean,4
626279,no_reward_late,2,0.06160714285714286,4,10,163,0.010869565217391304,4,1,96,0.36411010690411816,4,4,4,technically_valid,equal_session_mean,4
626279,engaged_2_early,3,0.3642860685413877,4,62,180,0.09492818322981367,4,10,115,0.9504027618738026,4,4,4,technically_valid,equal_session_mean,4
626279,engaged_2_late,4,0.25981002554278415,4,30,135,0.07753623188405798,4,5,78,0.5001575880178375,4,4,4,technically_valid,equal_session_mean,4
626279,engaged_1,1,0.725,1,29,40,0.2222222222222222,1,6,27,1.3132010903920734,1,4,1,threshold_selected,equal_session_mean,1
626279,no_reward_late,2,0.07142857142857142,1,3,42,0.0,1,0,23,0.6410871387517203,1,4,1,threshold_selected,equal_session_mean,1
626279,engaged_2_early,3,0.7435897435897436,1,29,39,0.21739130434782608,1,5,23,1.377251057559099,1,4,1,threshold_selected,equal_session_mean,1
626279,engaged_2_late,4,0.48148148148148145,1,13,27,0.2,1,3,15,0.7316455844524112,1,4,1,threshold_selected,equal_session_mean,1
632295,engaged_1,1,0.8373809523809523,4,93,111,0.23223039215686275,4,16,68,1.6558687269843486,4,4,4,technically_valid,equal_session_mean,4
632295,no_reward_late,2,0.14816959816959815,4,19,135,0.025252525252525252,4,2,87,0.6670675594771593,4,4,4,technically_valid,equal_session_mean,4
632295,engaged_2_early,3,0.8508837167373753,4,130,153,0.22725752508361205,4,21,92,1.720403526056185,4,4,4,technically_valid,equal_session_mean,4
632295,engaged_2_late,4,0.7832349074729498,4,83,107,0.096875,4,6,64,2.0490659474712274,4,4,4,technically_valid,equal_session_mean,4
632295,engaged_1,1,0.8214285714285714,2,46,56,0.23529411764705882,2,8,34,1.5840646273099515,2,4,2,threshold_selected,equal_session_mean,2
632295,no_reward_late,2,0.055598455598455596,2,4,72,0.022727272727272728,2,1,45,0.28068886864665843,2,4,2,threshold_selected,equal_session_mean,2
632295,engaged_2_early,3,0.8248905565978737,2,66,80,0.24581939799331104,2,12,49,1.5610929672010503,2,4,2,threshold_selected,equal_session_mean,2
632295,engaged_2_late,4,0.7248275862068966,2,39,54,0.12708333333333333,2,4,31,1.645166582160721,2,4,2,threshold_selected,equal_session_mean,2
633232,engaged_1,1,0.48151250040168386,4,45,109,0.2822128851540616,4,13,62,0.5979673641585412,4,4,4,technically_valid,equal_session_mean,4
633232,no_reward_late,2,0.30194757727652466,4,42,142,0.0625,4,5,89,0.9760625580210509,4,4,4,technically_valid,equal_session_mean,4
633232,engaged_2_early,3,0.4246686132740081,4,55,161,0.22292634740003162,4,18,99,0.555356119062963,4,4,4,technically_valid,equal_session_mean,4
633232,engaged_2_late,4,0.36200033875338755,4,32,108,0.15409843779408997,4,9,63,0.45423589213252846,4,4,4,technically_valid,equal_session_mean,4
633232,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
633232,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
633232,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
633232,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
636740,engaged_1,1,0.48044236883195063,4,86,191,0.0604064039408867,4,7,120,1.3223410630320018,4,4,4,technically_valid,equal_session_mean,4
636740,no_reward_late,2,0.10792533659730721,4,18,164,0.02128623188405797,4,2,95,0.39889299853869026,4,4,4,technically_valid,equal_session_mean,4
636740,engaged_2_early,3,0.39938688167693737,4,76,206,0.03333333333333333,4,4,122,1.5006816548498159,4,4,4,technically_valid,equal_session_mean,4
